Specialty	Class	Year	Name	Value
Anesthesiology	PGY2	2012	Change in Total Matches	NA
Anesthesiology	PGY2	2012	Change in U.S. Senior Ranked Positions	NA
Anesthesiology	PGY2	2012	Change in Total Ranked Positions	NA
Anesthesiology	PGY2	2012	Change in U.S. Senior Average Ranked Programs	NA
Anesthesiology	PGY2	2012	Change in Total Average Ranked Programs	NA
Anesthesiology	PGY2	2013	No. of Programs	86
Anesthesiology	PGY2	2013	Positions Offered	580
Anesthesiology	PGY2	2013	Unfilled Programs	9
Anesthesiology	PGY2	2013	U.S. Senior Applicants	1067
Anesthesiology	PGY2	2013	Total Applicants	1628
Anesthesiology	PGY2	2013	U.S. Senior Matches	398
Anesthesiology	PGY2	2013	Total Matches	562
Anesthesiology	PGY2	2013	U.S. Senior Ranked Positions	6644
Anesthesiology	PGY2	2013	Total Ranked Positions	8696
Anesthesiology	PGY2	2013	U.S. Senior Average Ranked Programs	6.2
Anesthesiology	PGY2	2013	Total Average Ranked Programs	5.3
Anesthesiology	PGY2	2013	Change in No. of Programs	3
Anesthesiology	PGY2	2013	Change in Positions Offered	23
Anesthesiology	PGY2	2013	Change in Unfilled Programs	-1
Anesthesiology	PGY2	2013	Change in U.S. Senior Applicants	15
Anesthesiology	PGY2	2013	Change in Total Applicants	79
Anesthesiology	PGY2	2013	Change in U.S. Senior Matches	1
Anesthesiology	PGY2	2013	Change in Total Matches	22
Anesthesiology	PGY2	2013	Change in U.S. Senior Ranked Positions	122
Anesthesiology	PGY2	2013	Change in Total Ranked Positions	561
Anesthesiology	PGY2	2013	Change in U.S. Senior Average Ranked Programs	0
Anesthesiology	PGY2	2013	Change in Total Average Ranked Programs	0
Anesthesiology	PGY2	2014	No. of Programs	80
Anesthesiology	PGY2	2014	Positions Offered	515
Anesthesiology	PGY2	2014	Unfilled Programs	14
Anesthesiology	PGY2	2014	U.S. Senior Applicants	1001
Anesthesiology	PGY2	2014	Total Applicants	1580
Anesthesiology	PGY2	2014	U.S. Senior Matches	327
