Specialty	Year	Class	Name	Value
Child Neurology	2018	PGY2	Positions Offered	8
Child Neurology	2018	PGY2	MD Senior Applicants	58
Child Neurology	2018	PGY2	Total Applicants	87
Child Neurology	2018	PGY2	MD Senior Matches	3
Child Neurology	2018	PGY2	Total Matches	7
Child Neurology	2019	PGY2	Positions Offered	11
Child Neurology	2019	PGY2	MD Senior Applicants	51
Child Neurology	2019	PGY2	Total Applicants	90
Child Neurology	2019	PGY2	MD Senior Matches	1
Child Neurology	2019	PGY2	Total Matches	9
Child Neurology	2020	PGY2	Positions Offered	9
Child Neurology	2020	PGY2	MD Senior Applicants	41
Child Neurology	2020	PGY2	Total Applicants	69
Child Neurology	2020	PGY2	MD Senior Matches	1
Child Neurology	2020	PGY2	Total Matches	6
Child Neurology	2021	PGY2	Positions Offered	8
Child Neurology	2021	PGY2	MD Senior Applicants	39
Child Neurology	2021	PGY2	Total Applicants	75
Child Neurology	2021	PGY2	MD Senior Matches	1
Child Neurology	2021	PGY2	Total Matches	6
Child Neurology	2022	PGY2	Positions Offered	7
Child Neurology	2022	PGY2	MD Senior Applicants	32
Child Neurology	2022	PGY2	Total Applicants	56
Child Neurology	2022	PGY2	MD Senior Matches	2
Child Neurology	2022	PGY2	Total Matches	7
Dermatology	2012	PGY1	Positions Offered	23
Dermatology	2012	PGY1	MD Senior Applicants	153
Dermatology	2012	PGY1	Total Applicants	164
Dermatology	2012	PGY1	MD Senior Matches	22
Dermatology	2012	PGY1	Total Matches	23
Dermatology	2013	PGY1	Positions Offered	38
Dermatology	2013	PGY1	MD Senior Applicants	174
Dermatology	2013	PGY1	Total Applicants	243
Dermatology	2013	PGY1	MD Senior Matches	21
Dermatology	2013	PGY1	Total Matches	37
Dermatology	2014	PGY1	Positions Offered	20
Dermatology	2014	PGY1	MD Senior Applicants	168
Dermatology	2014	PGY1	Total Applicants	179
Dermatology	2014	PGY1	MD Senior Matches	20
Dermatology	2014	PGY1	Total Matches	20
Dermatology	2015	PGY1	Positions Offered	22
Dermatology	2015	PGY1	MD Senior Applicants	170
Dermatology	2015	PGY1	Total Applicants	186
Dermatology	2015	PGY1	MD Senior Matches	20
Dermatology	2015	PGY1	Total Matches	22
Dermatology	2016	PGY1	Positions Offered	21
Dermatology	2016	PGY1	MD Senior Applicants	174
Dermatology	2016	PGY1	Total Applicants	182
Dermatology	2016	PGY1	MD Senior Matches	21
Dermatology	2016	PGY1	Total Matches	21
Dermatology	2017	PGY1	Positions Offered	26
Dermatology	2017	PGY1	MD Senior Applicants	216
Dermatology	2017	PGY1	Total Applicants	239
Dermatology	2017	PGY1	MD Senior Matches	24
Dermatology	2017	PGY1	Total Matches	26
Dermatology	2018	PGY1	Positions Offered	25
Dermatology	2018	PGY1	MD Senior Applicants	189
Dermatology	2018	PGY1	Total Applicants	212
Dermatology	2018	PGY1	MD Senior Matches	22
Dermatology	2018	PGY1	Total Matches	23
Dermatology	2019	PGY1	Positions Offered	30
Dermatology	2019	PGY1	MD Senior Applicants	217
Dermatology	2019	PGY1	Total Applicants	265
Dermatology	2019	PGY1	MD Senior Matches	23
Dermatology	2019	PGY1	Total Matches	28
Dermatology	2020	PGY1	Positions Offered	31
Dermatology	2020	PGY1	MD Senior Applicants	195
Dermatology	2020	PGY1	Total Applicants	239
Dermatology	2020	PGY1	MD Senior Matches	23
Dermatology	2020	PGY1	Total Matches	31
Dermatology	2021	PGY1	Positions Offered	30
Dermatology	2021	PGY1	MD Senior Applicants	214
Dermatology	2021	PGY1	Total Applicants	265
Dermatology	2021	PGY1	MD Senior Matches	25
Dermatology	2021	PGY1	Total Matches	30
Dermatology	2022	PGY1	Positions Offered	30
Dermatology	2022	PGY1	MD Senior Applicants	240
Dermatology	2022	PGY1	Total Applicants	302
Dermatology	2022	PGY1	MD Senior Matches	24
Dermatology	2022	PGY1	Total Matches	28
Dermatology	2012	PGY2	Positions Offered	340
Dermatology	2012	PGY2	MD Senior Applicants	385
Dermatology	2012	PGY2	Total Applicants	508
Dermatology	2012	PGY2	MD Senior Matches	288
Dermatology	2012	PGY2	Total Matches	329
Dermatology	2013	PGY2	Positions Offered	369
Dermatology	2013	PGY2	MD Senior Applicants	442
Dermatology	2013	PGY2	Total Applicants	574
Dermatology	2013	PGY2	MD Senior Matches	316
Dermatology	2013	PGY2	Total Matches	362
Dermatology	2014	PGY2	Positions Offered	380
Dermatology	2014	PGY2	MD Senior Applicants	468
